Code|Nutrient/Ingridient|Value (per 100gr)
DR046|Abu (ASH)|1.2 g
DR046|Kalsium (Ca)|58 mg
DR046|Fosfor (P)|70 mg
DR046|Besi (Fe)|2.5 mg
DR046|Natrium (Na)|16 mg
DR046|Kalium (K)|630.7 mg
DR046|Tembaga (Cu)|0.20 mg
DR046|Seng (Zn)|0.3 mg
DR046|Beta-Karoten (Carotenes)|4,773 mcg
DR046|Karoten Total (Re)|2,025 mcg
DR046|Thiamin (Vit. B1)|0.08 mg
DR046|Riboflavin (Vit. B2)|0.40 mg
DR046|Niasin (Niacin)|1.7 mg
DR046|Vitamin C (Vit. C)|16 mg
DR047|Air (Water)|89.7 g
DR047|Energi (Energy)|34 Kal
DR047|Protein (Protein)|3.6 g
DR047|Lemak (Fat)|0.6 g
DR047|Karbohidrat (CHO)|4.5 g
DR047|Serat (Fibre)|2.9 g
DR047|Abu (ASH)|1.6 g
DR047|Kalsium (Ca)|138 mg
DR047|Fosfor (P)|99 mg
DR047|Besi (Fe)|3.7 mg
DR047|Natrium (Na)|16 mg
DR047|Kalium (K)|630.7 mg
DR047|Tembaga (Cu)|0.20 mg
DR047|Seng (Zn)|0.3 mg
DR047|Beta-Karoten (Carotenes)|1,258 mcg
DR047|Karoten Total (Re)|2,750 mcg
DR047|Thiamin (Vit. B1)|0.14 mg
DR047|Riboflavin (Vit. B2)|0.20 mg
DR047|Niasin (Niacin)|1.3 mg
DR047|Vitamin C (Vit. C)|36 mg
DR048|Air (Water)|74.0 g
DR048|Energi (Energy)|87 Kal
DR048|Protein (Protein)|8.3 g
DR048|Lemak (Fat)|1.8 g
DR048|Karbohidrat (CHO)|14.4 g
DR048|Serat (Fibre)|3.3 g
DR048|Abu (ASH)|1.5 g
DR048|Kalsium (Ca)|725 mg
DR048|Fosfor (P)|174 mg
DR048|Besi (Fe)|3.9 mg
DR048|Natrium (Na)|10 mg
DR048|Kalium (K)|197.7 mg
DR048|Tembaga (Cu)|0.50 mg
DR048|Seng (Zn)|1.4 mg
DR048|Retinol (Vit. A)|0 mcg
DR048|Beta-Karoten (Carotenes)|6,900 mcg
DR048|Karoten Total (Re)|13,040 mcg
DR048|Thiamin (Vit. B1)|0.00 mg
DR048|Riboflavin (Vit. B2)|0.10 mg
DR048|Niasin (Niacin)|2.3 mg
DR048|Vitamin C (Vit. C)|32 mg
DR049|Air (Water)|79.4 g
DR049|Energi (Energy)|76 Kal
DR049|Protein (Protein)|2.8 g
DR049|Lemak (Fat)|0.2 g
DR049|Karbohidrat (CHO)|15.8 g
DR049|Serat (Fibre)|3.1 g
DR049|Abu (ASH)|1.8 g
DR049|Kalsium (Ca)|296 mg
DR049|Fosfor (P)|22 mg
DR049|Besi (Fe)|3.4 mg
DR049|Natrium (Na)|6 mg
DR049|Kalium (K)|46.0 mg
DR049|Tembaga (Cu)|0.50 mg
DR049|Seng (Zn)|1.1 mg
DR049|Beta-Karoten (Carotenes)|753 mcg
DR049|Thiamin (Vit. B1)|0.30 mg
DR049|Riboflavin (Vit. B2)|0.10 mg
DR049|Niasin (Niacin)|2.5 mg
DR049|Vitamin C (Vit. C)|22 mg
DR050|Air (Water)|85.0 g
DR050|Energi (Energy)|49 Kal
DR050|Protein (Protein)|4.7 g
DR050|Lemak (Fat)|0.5 g
DR050|Karbohidrat (CHO)|8.1 g
DR050|Abu (ASH)|1.7 g
DR050|Kalsium (Ca)|210 mg
DR050|Fosfor (P)|80 mg
DR050|Besi (Fe)|6.1 mg
DR050|Karoten Total (Re)|1,900 mcg
DR050|Thiamin (Vit. B1)|0.14 mg
DR050|Vitamin C (Vit. C)|40 mg
DR051|Air (Water)|90.0 g
DR051|Energi (Energy)|30 Kal
DR051|Protein (Protein)|2.3 g
DR051|Lemak (Fat)|0.4 g
DR051|Karbohidrat (CHO)|5.8 g
DR051|Serat (Fibre)|3.2 g
DR051|Abu (ASH)|1.4 g
DR051|Kalsium (Ca)|140 mg
DR051|Fosfor (P)|33 mg
DR051|Besi (Fe)|3.7 mg
DR051|Natrium (Na)|16 mg
DR051|Kalium (K)|747.4 mg
DR051|Tembaga (Cu)|0.20 mg
DR051|Seng (Zn)|0.2 mg
DR051|Beta-Karoten (Carotenes)|5,039 mcg
DR051|Karoten Total (Re)|1,000 mcg
DR051|Thiamin (Vit. B1)|0.07 mg
DR051|Riboflavin (Vit. B2)|1.10 mg
DR051|Niasin (Niacin)|6.5 mg
DR051|Vitamin C (Vit. C)|109 mg
DR052|Air (Water)|87.2 g
DR052|Energi (Energy)|44 Kal
DR052|Protein (Protein)|3.0 g
DR052|Lemak (Fat)|0.8 g
DR052|Karbohidrat (CHO)|7.4 g
DR052|Serat (Fibre)|3.3 g
DR052|Abu (ASH)|1.6 g
DR052|Kalsium (Ca)|76 mg
DR052|Fosfor (P)|59 mg
DR052|Besi (Fe)|1.0 mg
DR052|Natrium (Na)|3 mg
DR052|Kalium (K)|578.4 mg
DR052|Tembaga (Cu)|0.20 mg
DR052|Seng (Zn)|0.4 mg
DR052|Beta-Karoten (Carotenes)|2,584 mcg
DR052|Karoten Total (Re)|2,000 mcg
DR052|Thiamin (Vit. B1)|0.08 mg
DR052|Riboflavin (Vit. B2)|0.40 mg
DR052|Niasin (Niacin)|1.4 mg
DR052|Vitamin C (Vit. C)|31 mg
DR053|Air (Water)|82.0 g
DR053|Energi (Energy)|57 Kal
DR053|Protein (Protein)|3.7 g
DR053|Lemak (Fat)|0.3 g
DR053|Karbohidrat (CHO)|11.8 g
DR053|Abu (ASH)|2.2 g
DR053|Kalsium (Ca)|474 mg
DR053|Fosfor (P)|49 mg
DR053|Besi (Fe)|4.0 mg
DR053|Karoten Total (Re)|5,450 mcg
DR053|Thiamin (Vit. B1)|0.06 mg
DR053|Vitamin C (Vit. C)|83 mg
DR054|Air (Water)|77.1 g
DR054|Energi (Energy)|71 Kal
DR054|Protein (Protein)|6.8 g
DR054|Lemak (Fat)|1.6 g
DR054|Karbohidrat (CHO)|11.5 g
DR054|Serat (Fibre)|4.6 g
DR054|Abu (ASH)|3.0 g
DR054|Kalsium (Ca)|93 mg
DR054|Fosfor (P)|95 mg
DR054|Besi (Fe)|10.2 mg
DR054|Retinol (Vit. A)|0 mcg
DR054|Karoten Total (Re)|49 mcg
DR054|Thiamin (Vit. B1)|0.08 mg
DR054|Vitamin C (Vit. C)|26 mg
DR055|Air (Water)|70.8 g
DR055|Energi (Energy)|104 Kal
DR055|Protein (Protein)|5.0 g
DR055|Lemak (Fat)|1.3 g
DR055|Karbohidrat (CHO)|21.3 g
DR055|Serat (Fibre)|10.3 g
DR055|Abu (ASH)|1.6 g
DR055|Kalsium (Ca)|219 mg
DR055|Fosfor (P)|82 mg
DR055|Besi (Fe)|4.2 mg
DR055|Natrium (Na)|12 mg
DR055|Kalium (K)|604.8 mg
DR055|Tembaga (Cu)|0.40 mg
DR055|Seng (Zn)|0.6 mg
DR055|Beta-Karoten (Carotenes)|823 mcg
DR055|Karoten Total (Re)|10,000 mcg
DR055|Thiamin (Vit. B1)|0.09 mg
DR055|Vitamin C (Vit. C)|182 mg
DR056|Air (Water)|80.9 g
DR056|Energi (Energy)|65 Kal
DR056|Protein (Protein)|4.0 g
DR056|Lemak (Fat)|1.7 g
DR056|Karbohidrat (CHO)|11.4 g
DR056|Serat (Fibre)|3.9 g
DR056|Abu (ASH)|2.0 g
DR056|Kalsium (Ca)|296 mg
DR056|Fosfor (P)|40 mg
DR056|Besi (Fe)|6.9 mg
DR056|Retinol (Vit. A)|0 mcg
DR056|Beta-Karoten (Carotenes)|2 mcg
DR056|Karoten Total (Re)|4,958 mcg
DR056|Thiamin (Vit. B1)|0.01 mg
DR056|Riboflavin (Vit. B2)|0.10 mg
DR056|Niasin (Niacin)|5.7 mg
DR056|Vitamin C (Vit. C)|35 mg
DR057|Air (Water)|56.0 g
DR057|Energi (Energy)|166 Kal
DR057|Protein (Protein)|1.7 g
DR057|Lemak (Fat)|0.5 g
DR057|Karbohidrat (CHO)|38.8 g
DR057|Serat (Fibre)|10.7 g
DR057|Abu (ASH)|3.0 g
DR057|Kalsium (Ca)|40 mg
DR057|Fosfor (P)|20 mg
DR057|Besi (Fe)|1.8 mg
DR057|Natrium (Na)|40 mg
DR057|Kalium (K)|310.0 mg
DR057|Tembaga (Cu)|0.20 mg
DR057|Seng (Zn)|0.7 mg
DR057|Beta-Karoten (Carotenes)|14,457 mcg
DR057|Thiamin (Vit. B1)|0.40 mg
DR057|Riboflavin (Vit. B2)|0.10 mg
DR057|Niasin (Niacin)|0.1 mg
DR057|Vitamin C (Vit. C)|30 mg
DR058|Air (Water)|93.0 g
DR058|Energi (Energy)|22 Kal
DR058|Protein (Protein)|1.0 g
DR058|Lemak (Fat)|0.1 g
DR058|Karbohidrat (CHO)|5.3 g
DR058|Serat (Fibre)|2.0 g
DR058|Abu (ASH)|0.6 g
DR058|Kalsium (Ca)|21 mg
DR058|Fosfor (P)|44 mg
DR058|Besi (Fe)|2.0 mg
DR058|Natrium (Na)|40 mg
DR058|Kalium (K)|295.5 mg
DR058|Tembaga (Cu)|0.10 mg
DR058|Seng (Zn)|0.2 mg
DR058|Beta-Karoten (Carotenes)|855 mcg
DR058|Karoten Total (Re)|1,000 mcg
DR058|Thiamin (Vit. B1)|0.08 mg
DR058|Riboflavin (Vit. B2)|0.10 mg
DR058|Niasin (Niacin)|0.8 mg
DR058|Vitamin C (Vit. C)|150 mg
DR059|Air (Water)|86.8 g
DR059|Energi (Energy)|39 Kal
DR059|Protein (Protein)|4.5 g
DR059|Lemak (Fat)|0.4 g
DR059|Karbohidrat (CHO)|6.9 g
DR059|Serat (Fibre)|2.0 g
DR059|Abu (ASH)|1.4 g
DR059|Kalsium (Ca)|136 mg
DR059|Fosfor (P)|159 mg
DR059|Besi (Fe)|2.3 mg
DR059|Natrium (Na)|20 mg
DR059|Kalium (K)|201.9 mg
DR059|Tembaga (Cu)|0.20 mg
DR059|Seng (Zn)|0.3 mg
DR059|Retinol (Vit. A)|0 mcg
DR059|Beta-Karoten (Carotenes)|1,625 mcg
DR059|Karoten Total (Re)|3,292 mcg
DR059|Thiamin (Vit. B1)|0.02 mg
DR059|Riboflavin (Vit. B2)|0.10 mg
DR059|Niasin (Niacin)|0.5 mg
DR059|Vitamin C (Vit. C)|3 mg
DR060|Air (Water)|89.5 g
DR060|Energi (Energy)|54 Kal
DR060|Protein (Protein)|2.2 g
DR060|Lemak (Fat)|3.6 g
DR060|Karbohidrat (CHO)|3.1 g
DR060|Serat (Fibre)|2.1 g
DR060|Abu (ASH)|1.6 g
DR060|Kalsium (Ca)|40 mg
DR060|Fosfor (P)|80 mg
DR060|Besi (Fe)|0.7 mg
DR060|Natrium (Na)|70 mg
DR060|Kalium (K)|500.0 mg
DR060|Tembaga (Cu)|0.40 mg
DR060|Seng (Zn)|0.1 mg
DR060|Beta-Karoten (Carotenes)|168 mcg
DR060|Thiamin (Vit. B1)|0.40 mg
DR060|Riboflavin (Vit. B2)|0.30 mg
DR060|Niasin (Niacin)|0.2 mg
DR060|Vitamin C (Vit. C)|8 mg
DR061|Air (Water)|86.9 g
DR061|Energi (Energy)|53 Kal
DR061|Protein (Protein)|3.4 g
DR061|Lemak (Fat)|1.2 g
DR061|Karbohidrat (CHO)|7.2 g
DR061|Serat (Fibre)|4.8 g
DR061|Abu (ASH)|1.3 g
DR061|Kalsium (Ca)|30 mg
DR061|Fosfor (P)|100 mg
DR061|Besi (Fe)|0.3 mg
DR061|Natrium (Na)|20 mg
DR061|Kalium (K)|200.0 mg
DR061|Tembaga (Cu)|0.20 mg
DR061|Seng (Zn)|0.3 mg
DR061|Beta-Karoten (Carotenes)|191 mcg
DR061|Thiamin (Vit. B1)|0.70 mg
DR061|Riboflavin (Vit. B2)|0.20 mg
DR061|Niasin (Niacin)|0.3 mg
DR061|Vitamin C (Vit. C)|6 mg
DR062|Air (Water)|88.8 g
DR062|Energi (Energy)|29 Kal
DR062|Protein (Protein)|3.4 g
DR062|Lemak (Fat)|0.1 g
DR062|Karbohidrat (CHO)|6.5 g
DR062|Serat (Fibre)|4.3 g
DR062|Abu (ASH)|1.2 g
DR062|Kalsium (Ca)|13 mg
DR062|Fosfor (P)|88 mg
DR062|Besi (Fe)|1.3 mg
DR062|Natrium (Na)|19 mg
DR062|Kalium (K)|434.0 mg
DR062|Tembaga (Cu)|0.50 mg
DR062|Seng (Zn)|0.7 mg
DR062|Beta-Karoten (Carotenes)|18 mcg
DR062|Thiamin (Vit. B1)|0.20 mg
DR062|Riboflavin (Vit. B2)|0.10 mg
DR062|Niasin (Niacin)|11.7 mg
DR062|Vitamin C (Vit. C)|10 mg
DR063|Air (Water)|76.1 g
DR063|Energi (Energy)|104 Kal
DR063|Protein (Protein)|3.9 g
DR063|Lemak (Fat)|0.6 g
DR063|Karbohidrat (CHO)|17.9 g
DR063|Serat (Fibre)|8.3 g
DR063|Abu (ASH)|1.5 g
DR063|Kalsium (Ca)|256 mg
DR063|Fosfor (P)|22 mg
DR063|Besi (Fe)|1.8 mg
DR063|Natrium (Na)|4 mg
DR063|Kalium (K)|266.0 mg
DR063|Tembaga (Cu)|1.70 mg
DR063|Seng (Zn)|0.5 mg
DR063|Beta-Karoten (Carotenes)|55 mcg
DR063|Thiamin (Vit. B1)|0.40 mg
DR063|Riboflavin (Vit. B2)|0.10 mg
DR063|Niasin (Niacin)|0.1 mg
DR063|Vitamin C (Vit. C)|23 mg
DR064|Air (Water)|87.3 g
DR064|Energi (Energy)|49 Kal
DR064|Protein (Protein)|2.7 g
DR064|Lemak (Fat)|1.0 g
DR064|Karbohidrat (CHO)|8.4 g
DR064|Serat (Fibre)|3.0 g
DR064|Abu (ASH)|1.6 g
DR064|Kalsium (Ca)|217 mg
DR064|Fosfor (P)|70 mg
DR064|Besi (Fe)|3.3 mg
DR064|Natrium (Na)|7 mg
DR064|Kalium (K)|498.0 mg
DR064|Tembaga (Cu)|0.40 mg
DR064|Seng (Zn)|1.2 mg
DR064|Beta-Karoten (Carotenes)|1,800 mcg
DR064|Thiamin (Vit. B1)|0.40 mg
DR064|Riboflavin (Vit. B2)|0.20 mg
DR064|Niasin (Niacin)|0.6 mg
DR064|Vitamin C (Vit. C)|7 mg
DR065|Air (Water)|75.4 g
DR065|Energi (Energy)|87 Kal
DR065|Protein (Protein)|8.0 g
DR065|Lemak (Fat)|2.0 g
DR065|Karbohidrat (CHO)|11.9 g
DR065|Serat (Fibre)|1.5 g
DR065|Abu (ASH)|2.7 g
DR065|Kalsium (Ca)|353 mg
DR065|Fosfor (P)|63 mg
DR065|Besi (Fe)|0.8 mg
DR065|Natrium (Na)|4 mg
DR065|Kalium (K)|926.6 mg
DR065|Tembaga (Cu)|0.20 mg
DR065|Seng (Zn)|1.5 mg
DR065|Beta-Karoten (Carotenes)|5,409 mcg
DR065|Karoten Total (Re)|18,250 mcg
DR065|Thiamin (Vit. B1)|0.15 mg
DR065|Riboflavin (Vit. B2)|0.50 mg
DR065|Niasin (Niacin)|1.9 mg
DR065|Vitamin C (Vit. C)|140 mg
DR066|Air (Water)|87.4 g
DR066|Energi (Energy)|37 Kal
DR066|Protein (Protein)|2.5 g
DR066|Lemak (Fat)|0.8 g
DR066|Karbohidrat (CHO)|6.9 g
DR066|Serat (Fibre)|2.6 g
DR066|Abu (ASH)|2.4 g
DR066|Kalsium (Ca)|744 mg
DR066|Fosfor (P)|80 mg
DR066|Besi (Fe)|5.9 mg
DR066|Retinol (Vit. A)|0 mcg
DR066|Karoten Total (Re)|7,378 mcg
DR066|Thiamin (Vit. B1)|0.03 mg
DR066|Vitamin C (Vit. C)|5 mg
DR067|Air (Water)|83.1 g
DR067|Energi (Energy)|62 Kal
DR067|Protein (Protein)|4.0 g
DR067|Lemak (Fat)|0.5 g
DR067|Karbohidrat (CHO)|10.5 g
DR067|Serat (Fibre)|5.3 g
DR067|Abu (ASH)|1.9 g
DR067|Kalsium (Ca)|122 mg
DR067|Fosfor (P)|16 mg
DR067|Besi (Fe)|13.9 mg
DR067|Natrium (Na)|3 mg
DR067|Kalium (K)|259.0 mg
DR067|Tembaga (Cu)|0.40 mg
DR067|Seng (Zn)|0.7 mg
DR067|Retinol (Vit. A)|0 mcg
DR067|Beta-Karoten (Carotenes)|4,112 mcg
DR067|Thiamin (Vit. B1)|0.50 mg
DR067|Riboflavin (Vit. B2)|0.10 mg
DR067|Niasin (Niacin)|0.2 mg
DR067|Vitamin C (Vit. C)|24 mg
DR068|Air (Water)|84.7 g
DR068|Energi (Energy)|45 Kal
DR068|Protein (Protein)|4.4 g
DR068|Lemak (Fat)|0.5 g
DR068|Karbohidrat (CHO)|8.5 g
DR068|Serat (Fibre)|1.9 g
DR068|Abu (ASH)|1.9 g
DR068|Kalsium (Ca)|98 mg
DR068|Fosfor (P)|90 mg
DR068|Besi (Fe)|7.0 mg
DR068|Natrium (Na)|64 mg
DR068|Kalium (K)|520.7 mg
DR068|Tembaga (Cu)|0.50 mg
DR068|Seng (Zn)|0.3 mg
DR068|Retinol (Vit. A)|0 mcg
DR068|Beta-Karoten (Carotenes)|64 mcg
DR068|Karoten Total (Re)|3,365 mcg
DR068|Thiamin (Vit. B1)|0.01 mg
DR068|Riboflavin (Vit. B2)|0.50 mg
DR068|Niasin (Niacin)|0.7 mg
DR068|Vitamin C (Vit. C)|6 mg
DR069|Air (Water)|86.2 g
DR069|Energi (Energy)|53 Kal
DR069|Protein (Protein)|3.2 g
DR069|Lemak (Fat)|2.5 g
DR069|Karbohidrat (CHO)|7.6 g
DR069|Serat (Fibre)|1.6 g
DR069|Abu (ASH)|0.9 g
DR069|Kalsium (Ca)|228 mg
DR069|Fosfor (P)|194 mg
DR069|Besi (Fe)|3.5 mg
DR069|Retinol (Vit. A)|0 mcg
DR069|Karoten Total (Re)|3,346 mcg
DR069|Thiamin (Vit. B1)|0.02 mg
DR069|Vitamin C (Vit. C)|5 mg
DR070|Air (Water)|80.9 g
DR070|Energi (Energy)|68 Kal
DR070|Protein (Protein)|2.0 g
DR070|Lemak (Fat)|1.0 g
DR070|Karbohidrat (CHO)|15.2 g
DR070|Serat (Fibre)|3.3 g
DR070|Abu (ASH)|0.9 g
DR070|Kalsium (Ca)|178 mg
DR070|Fosfor (P)|86 mg
DR070|Besi (Fe)|2.1 mg
DR070|Karoten Total (Re)|6,042 mcg
DR070|Thiamin (Vit. B1)|0.02 mg
DR070|Vitamin C (Vit. C)|3 mg
DR071|Air (Water)|84.4 g
DR071|Energi (Energy)|50 Kal
DR071|Protein (Protein)|6.2 g
DR071|Lemak (Fat)|1.1 g
DR071|Karbohidrat (CHO)|7.1 g
DR071|Serat (Fibre)|2.4 g
DR071|Abu (ASH)|1.2 g
DR071|Kalsium (Ca)|166 mg
DR071|Fosfor (P)|99 mg
DR071|Besi (Fe)|1.3 mg
DR071|Natrium (Na)|17 mg
DR071|Kalium (K)|23.1 mg
DR071|Tembaga (Cu)|0.10 mg
DR071|Seng (Zn)|2.0 mg
DR071|Retinol (Vit. A)|0 mcg
DR071|Beta-Karoten (Carotenes)|3,204 mcg
DR071|Karoten Total (Re)|7,052 mcg
DR071|Thiamin (Vit. B1)|0.04 mg
DR071|Riboflavin (Vit. B2)|0.10 mg
DR071|Niasin (Niacin)|1.8 mg
DR071|Vitamin C (Vit. C)|103 mg
DR072|Air (Water)|58.0 g
DR072|Energi (Energy)|144 Kal
DR072|Protein (Protein)|12.7 g
DR072|Lemak (Fat)|1.2 g
DR072|Karbohidrat (CHO)|25.2 g
DR072|Serat (Fibre)|10.2 g
DR072|Abu (ASH)|2.9 g
DR072|Kalsium (Ca)|165 mg
DR072|Fosfor (P)|54 mg
DR072|Besi (Fe)|3.9 mg
DR072|Natrium (Na)|44 mg
DR072|Kalium (K)|62.2 mg
DR072|Tembaga (Cu)|0.20 mg
DR072|Seng (Zn)|5.4 mg
DR072|Beta-Karoten (Carotenes)|8,627 mcg
DR072|Karoten Total (Re)|13,000 mcg
DR072|Thiamin (Vit. B1)|0.21 mg
DR072|Riboflavin (Vit. B2)|1.00 mg
DR072|Niasin (Niacin)|4.2 mg
DR072|Vitamin C (Vit. C)|220 mg
DR073|Air (Water)|84.4 g
DR073|Energi (Energy)|50 Kal
DR073|Protein (Protein)|6.2 g
DR073|Lemak (Fat)|1.1 g
DR073|Karbohidrat (CHO)|7.1 g
DR073|Serat (Fibre)|2.4 g
DR073|Abu (ASH)|1.2 g
DR073|Kalsium (Ca)|352 mg
DR073|Fosfor (P)|123 mg
DR073|Besi (Fe)|2.7 mg
DR073|Natrium (Na)|49 mg
DR073|Kalium (K)|570.0 mg
DR073|Tembaga (Cu)|0.20 mg
DR073|Seng (Zn)|1.3 mg
DR073|Beta-Karoten (Carotenes)|7,917 mcg
DR073|Thiamin (Vit. B1)|0.50 mg
DR073|Riboflavin (Vit. B2)|0.10 mg
DR073|Niasin (Niacin)|1.6 mg
DR073|Vitamin C (Vit. C)|103 mg
DR074|Air (Water)|81.1 g
DR074|Energi (Energy)|74 Kal
DR074|Protein (Protein)|6.3 g
DR074|Lemak (Fat)|0.7 g
DR074|Karbohidrat (CHO)|10.7 g
DR074|Serat (Fibre)|4.6 g
DR074|Abu (ASH)|1.2 g
DR074|Kalsium (Ca)|142 mg
DR074|Fosfor (P)|115 mg
DR074|Besi (Fe)|1.7 mg
DR074|Natrium (Na)|32 mg
DR074|Kalium (K)|382.0 mg
DR074|Tembaga (Cu)|0.20 mg
DR074|Seng (Zn)|1.5 mg
DR074|Beta-Karoten (Carotenes)|3,882 mcg
DR074|Thiamin (Vit. B1)|0.50 mg
DR074|Riboflavin (Vit. B2)|0.50 mg
DR074|Niasin (Niacin)|1.9 mg
DR074|Vitamin C (Vit. C)|211 mg
DR075|Air (Water)|88.5 g
DR075|Energi (Energy)|36 Kal
DR075|Protein (Protein)|2.6 g
DR075|Lemak (Fat)|0.9 g
DR075|Karbohidrat (CHO)|6.1 g
DR075|Serat (Fibre)|1.7 g
DR075|Abu (ASH)|1.9 g
DR075|Kalsium (Ca)|398 mg
DR075|Fosfor (P)|95 mg
DR075|Besi (Fe)|9.3 mg
DR075|Natrium (Na)|64 mg
DR075|Kalium (K)|444.4 mg
DR075|Tembaga (Cu)|0.10 mg
DR075|Seng (Zn)|0.4 mg
DR075|Retinol (Vit. A)|0 mcg
DR075|Beta-Karoten (Carotenes)|10,178 mcg
DR075|Karoten Total (Re)|8,868 mcg
DR075|Thiamin (Vit. B1)|0.03 mg
DR075|Riboflavin (Vit. B2)|0.20 mg
DR075|Niasin (Niacin)|0.9 mg
DR075|Vitamin C (Vit. C)|3 mg
DR076|Air (Water)|81.1 g
DR076|Energi (Energy)|59 Kal
DR076|Protein (Protein)|3.0 g
DR076|Lemak (Fat)|0.4 g
DR076|Karbohidrat (CHO)|13.5 g
DR076|Serat (Fibre)|3.0 g
DR076|Abu (ASH)|2.0 g
DR076|Kalsium (Ca)|236 mg
DR076|Fosfor (P)|50 mg
DR076|Besi (Fe)|2.4 mg
DR076|Natrium (Na)|4 mg
DR076|Kalium (K)|854.1 mg
DR076|Tembaga (Cu)|0.40 mg
DR076|Seng (Zn)|0.5 mg
DR076|Retinol (Vit. A)|0 mcg
DR076|Beta-Karoten (Carotenes)|3,816 mcg
DR076|Karoten Total (Re)|5,740 mcg
DR076|Thiamin (Vit. B1)|0.07 mg
DR076|Riboflavin (Vit. B2)|0.60 mg
DR076|Niasin (Niacin)|2.0 mg
DR076|Vitamin C (Vit. C)|24 mg
DR077|Air (Water)|81.0 g
DR077|Energi (Energy)|70 Kal
DR077|Protein (Protein)|2.9 g
DR077|Lemak (Fat)|0.3 g
DR077|Karbohidrat (CHO)|13.9 g
DR077|Serat (Fibre)|2.3 g
DR077|Abu (ASH)|1.9 g
DR077|Kalsium (Ca)|155 mg
DR077|Fosfor (P)|65 mg
DR077|Besi (Fe)|2.5 mg
DR077|Natrium (Na)|72 mg
DR077|Tembaga (Cu)|0.15 mg
DR077|Seng (Zn)|0.9 mg
DR077|Beta-Karoten (Carotenes)|171 mcg
DR077|Karoten Total (Re)|2,500 mcg
DR077|Thiamin (Vit. B1)|0.05 mg
DR077|Riboflavin (Vit. B2)|0.70 mg
DR077|Niasin (Niacin)|1.4 mg
DR077|Vitamin C (Vit. C)|21 mg
DR078|Air (Water)|83.5 g
DR078|Energi (Energy)|62 Kal
DR078|Protein (Protein)|3.7 g
DR078|Lemak (Fat)|0.3 g
DR078|Karbohidrat (CHO)|11.1 g
DR078|Serat (Fibre)|6.4 g
DR078|Abu (ASH)|1.4 g
DR078|Kalsium (Ca)|170 mg
DR078|Fosfor (P)|40 mg
DR078|Besi (Fe)|0.6 mg
DR078|Natrium (Na)|10 mg
DR078|Kalium (K)|0.0 mg
DR078|Tembaga (Cu)|0.20 mg
DR078|Seng (Zn)|0.5 mg
DR078|Beta-Karoten (Carotenes)|3,564 mcg
DR078|Thiamin (Vit. B1)|0.30 mg
DR078|Riboflavin (Vit. B2)|0.30 mg
DR078|Niasin (Niacin)|1.2 mg
DR078|Vitamin C (Vit. C)|4 mg
DR079|Air (Water)|84.4 g
DR079|Energi (Energy)|48 Kal
DR079|Protein (Protein)|3.0 g
DR079|Lemak (Fat)|0.3 g
DR079|Karbohidrat (CHO)|10.8 g
DR079|Serat (Fibre)|1.4 g
DR079|Abu (ASH)|1.5 g
DR079|Kalsium (Ca)|80 mg
DR079|Fosfor (P)|81 mg
DR079|Besi (Fe)|6.4 mg
DR079|Natrium (Na)|33 mg
DR079|Kalium (K)|517.3 mg
DR079|Tembaga (Cu)|0.00 mg
DR079|Seng (Zn)|0.4 mg
DR079|Retinol (Vit. A)|0 mcg
DR079|Beta-Karoten (Carotenes)|5,453 mcg
DR079|Karoten Total (Re)|4,697 mcg
DR079|Thiamin (Vit. B1)|0.10 mg
DR079|Riboflavin (Vit. B2)|0.20 mg
DR079|Niasin (Niacin)|1.2 mg
DR079|Vitamin C (Vit. C)|27 mg
DR080|Air (Water)|87.5 g
DR080|Energi (Energy)|46 Kal
DR080|Protein (Protein)|2.8 g
DR080|Lemak (Fat)|0.2 g
DR080|Karbohidrat (CHO)|8.2 g
DR080|Serat (Fibre)|4.8 g
DR080|Abu (ASH)|1.3 g
DR080|Kalsium (Ca)|120 mg
DR080|Fosfor (P)|50 mg
DR080|Besi (Fe)|0.8 mg
DR080|Natrium (Na)|10 mg
DR080|Kalium (K)|0.0 mg
DR080|Tembaga (Cu)|0.20 mg
DR080|Seng (Zn)|0.5 mg
DR080|Beta-Karoten (Carotenes)|103 mcg
DR080|Thiamin (Vit. B1)|0.30 mg
DR080|Riboflavin (Vit. B2)|0.30 mg
DR080|Niasin (Niacin)|0.9 mg
DR080|Vitamin C (Vit. C)|8 mg
DR081|Air (Water)|85.1 g
DR081|Energi (Energy)|55 Kal
DR081|Protein (Protein)|1.7 g
DR081|Lemak (Fat)|0.1 g
DR081|Karbohidrat (CHO)|11.9 g
DR081|Serat (Fibre)|7.6 g
DR081|Abu (ASH)|1.2 g
DR081|Kalsium (Ca)|120 mg
DR081|Fosfor (P)|40 mg
DR081|Besi (Fe)|0.6 mg
DR081|Natrium (Na)|10 mg
DR081|Kalium (K)|0.0 mg
DR081|Tembaga (Cu)|0.20 mg
DR081|Seng (Zn)|0.5 mg
DR081|Beta-Karoten (Carotenes)|516 mcg
DR081|Thiamin (Vit. B1)|0.20 mg
DR081|Riboflavin (Vit. B2)|0.00 mg
DR081|Niasin (Niacin)|0.0 mg
DR081|Vitamin C (Vit. C)|7 mg
DR082|Air (Water)|93.0 g
DR082|Energi (Energy)|19 Kal
DR082|Protein (Protein)|1.0 g
DR082|Lemak (Fat)|0.2 g
DR082|Karbohidrat (CHO)|3.8 g
